País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.6415,0.8553,1.1404,2.9223,5.916,22.4521,22.4521,31.2904,58.8032,74.3415,93.0872,93.0872,118.6043,118.6043,142.6245,218.8904,218.8904,218.8904,218.8904,343.6245,343.6245,343.6245
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.423,0.8741,0.9587,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,3.4119,4.0322,5.7241,6.0625,6.5418,7.0776,7.4723,7.9517,8.0363,8.0363
Estónia,0.0,0.0,0.0,0.0,0.0,0.1508,0.9046,16.9615,27.8168,56.1614,86.6166,103.5027,116.9965,125.138,128.9827,131.6211,135.0134,138.2549,140.9688,146.7734,148.8841,149.4118,149.9395,150.3918,151.8995,152.4272,153.6333,157.6287,163.3579,165.2425
Essuatíni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.3448,0.7758,0.8619,1.2929,2.672,6.1198,10.2572,15.8598,17.9285,22.4968,25.3412,31.9782,44.8212,58.0952,69.9901,91.0216,123.6032,163.2528,207.2121,246.1721,293.924,335.6422
Etiópia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0104,0.0226,0.0452,0.0713,0.0992,0.1096,0.1261,0.227,0.3175,0.6098,1.1691,2.0319,3.1575,4.217,5.0851,5.0851,6.9318,9.6309,13.2216,17.2898,21.0284,27.2573
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4462,0.5578,1.6733,1.7848,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.3426,2.9003,3.0119,3.0119,3.0119,3.0119,3.1234
Finlândia,0.0,0.018,0.018,0.018,0.018,0.1083,0.7219,5.7935,14.2942,25.5923,41.6552,57.0503,72.4455,85.5484,97.6768,108.3433,115.4904,119.6234,124.2979,126.7886,128.3588,129.1348,130.1997,131.066,131.7699,132.6723,133.6288,135.0546,137.5814,139.9096
França,0.0061,0.0092,0.0169,0.0184,0.0214,0.3125,2.7484,11.8195,34.6572,80.9318,121.2789,199.7211,242.3158,258.9917,261.495,273.2333,277.1921,280.4614,290.084,293.9156,298.7046,304.1448,309.5636,315.7054,321.1716,328.7811,338.6933,350.1819,366.6955,393.0124
Gabão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.2696,0.7189,1.3479,2.561,7.0089,10.6931,17.8368,38.7737,67.4834,100.5511,125.936,145.8845,184.8379,217.8607,242.347,258.0272,270.7421,289.0282,322.9946,343.5271,359.7016,371.5628
Gâmbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414,0.1241,0.1655,0.1655,0.3724,0.4138,0.4138,0.7034,0.9103,0.9931,1.0345,1.0345,1.1586,1.4069,1.7379,2.0276,2.5241,2.6483,4.6345,13.4896,27.7655,55.6965,77.462
Geórgia,0.0,0.0,0.0,0.0,0.0,0.0752,0.376,0.8523,1.7548,2.7575,4.9133,7.5204,10.2277,12.8097,15.141,16.0936,17.723,18.3497,19.954,20.5055,22.0347,22.8368,23.263,24.015,25.0428,26.2962,28.7027,29.6302,31.6858,33.616
Alemanha,0.0048,0.0143,0.0191,0.0191,0.0203,0.2339,1.739,11.0487,39.3703,85.7062,128.5008,156.783,176.9921,190.8623,199.3306,206.6876,212.1862,216.2706,219.4681,222.6035,224.6874,229.7338,233.2404,236.7315,239.2535,243.1456,247.9079,254.02,262.0311,270.5769
Gana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.1706,0.5181,0.9236,2.0468,3.3534,5.3777,8.7504,16.4999,19.6184,22.9042,26.7017,32.8292,39.2399,46.8832,57.0947,70.6982,80.4172,93.2934,110.7266,121.6879,133.2478,137.2673
Grécia,0.0,0.0,0.0,0.0,0.0,0.0672,0.8539,3.7129,7.1284,12.6067,17.5764,20.8192,23.0355,24.6185,25.3477,26.3263,27.2473,27.7462,28.1779,29.3388,30.2023,31.6798,32.7063,34.4333,37.254,38.837,41.0532,46.5794,57.0082,69.2887
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8887,7.9984,10.6645,12.4419,12.4419,16.8854,18.6629,18.6629,19.5516,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,20.4403,21.329,21.329,21.329
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335,0.1172,0.2121,0.4298,0.9322,1.641,2.9583,4.2589,6.6925,11.9058,22.0702,31.1796,43.9059,59.7581,81.1585,101.0071,138.3545,172.3194,224.5477,259.2773,292.2877,323.551,351.3369
Guiné,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0305,0.1675,1.0965,2.7641,5.2388,9.442,13.7899,17.4982,21.8004,24.9376,29.59,32.4226,35.3238,38.3772,41.0499,42.9155,47.2101,50.6518,54.2611,57.0252,61.0533,65.6372
Guiné-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4065,1.6768,1.9309,2.5406,3.7093,20.9858,41.6666,52.7439,59.8577,68.0386,70.5792,75.813,79.065,84.0447,90.9552,93.5975,99.2886,99.2886,100.6605,106.0975,107.5711
