País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Honduras,0.0808,0.3029,1.4236,3.0794,4.1092,4.9876,7.0876,12.8223,21.2023,29.8346,44.4339,55.8023,70.0179,97.49,140.7729,197.4637,256.729,293.8632,356.8541,408.4968,447.2565,488.6918,495.1433,,,,,,,
Hungria,0.0932,0.5176,1.9357,5.093,8.4572,15.6516,21.7176,27.4214,31.7276,34.2948,36.8103,39.0358,40.5886,41.5823,42.2034,42.514,43.0109,43.5284,44.0771,44.9984,46.1267,47.1308,49.1286,49.8222,,,,,,
Islândia,9.9636,30.1838,96.7053,235.0231,386.5281,482.9403,509.6075,524.2598,526.6042,527.7764,528.0694,528.3625,528.9486,529.2416,529.5347,531.586,532.7582,536.2747,537.1539,538.033,539.4982,548.5827,566.1655,579.0595,,,,,,
Índia,0.0002,0.0002,0.0002,0.0002,0.002,0.0045,0.0113,0.0476,0.1448,0.4287,0.8929,1.5485,2.3958,3.8396,5.6561,8.1179,11.4555,15.7118,20.7684,26.5902,34.2829,43.8144,55.601,70.2068,89.7677,114.6346,142.3572,173.6688,178.3465,
Indonésia,0.0022,0.0428,0.1879,0.4698,0.831,1.5505,2.4038,3.2473,4.0918,5.1301,6.4031,8.1423,9.6785,11.4016,13.994,16.7777,19.746,23.3066,27.6755,31.632,36.1132,40.7479,45.8447,48.5574,,,,,,
Irã,0.1131,2.7812,9.5746,19.2504,29.5394,53.1056,74.517,89.1468,100.9632,110.2283,119.0219,131.8765,148.3494,166.0985,187.5896,209.4545,229.1133,249.9853,271.0489,292.5103,312.1369,331.9648,352.7356,374.7767,394.3057,400.4193,,,,
Iraque,0.0472,0.1492,0.2884,0.5793,1.3599,2.3892,3.3613,3.8262,4.5248,5.7082,6.8792,8.4629,11.1107,16.0085,30.744,50.243,76.7431,112.8771,150.3611,192.6932,230.0454,273.5584,321.0915,373.2116,408.4207,,,,,
Irlanda,0.3645,1.8227,13.8321,42.9545,86.5368,163.8184,283.1228,368.2622,421.9097,456.5001,485.1567,496.2953,503.7885,509.6009,511.3628,513.7525,514.6841,516.3853,518.2282,521.0837,523.4127,527.8682,536.0702,545.3659,,,,,,
Israel,0.0347,0.2311,1.1553,4.9333,31.113,79.221,115.1633,147.397,171.0235,184.2289,189.2546,191.5422,192.7437,194.9273,202.125,214.5332,231.4819,258.7939,312.4821,402.3437,532.1335,669.8835,809.147,919.1691,1037.7406,,,,,
Itália,0.0033,0.005,0.005,1.0833,6.3809,24.9959,67.8693,133.2891,190.6029,237.5482,279.4176,314.2032,339.8227,357.0154,368.9865,377.1074,383.2699,387.0426,390.5638,393.8998,396.4584,398.5341,400.8529,403.1238,405.7734,408.7836,412.1675,417.1806,,
