País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Croácia,7.0,12.0,57.0,315.0,790.0,1222.0,1650.0,1881.0,2039.0,2101.0,2196.0,2228.0,2244.0,2246.0,2247.0,2254.0,2336.0,2725.0,3220.0,3775.0,4370.0,4881.0,5294.0,5649.0,6656.0,8311.0,10269.0,12081.0,13598.0,14992.0,16245.0,17797.0,20621.0,25973.0,37208.0,52660.0,68776.0,85519.0,105691.0,128442.0,152239.0,177358.0,195728.0,205246.0,213319.0,220223.0,225128.0,229054.0,232520.0,235473.0,237725.0,239945.0,,,,,
Cuba,7.0,57.0,212.0,457.0,814.0,1189.0,1467.0,1703.0,1810.0,1900.0,1974.0,2107.0,2211.0,2280.0,2319.0,2348.0,2399.0,2438.0,2462.0,2588.0,2726.0,3128.0,3482.0,3759.0,4126.0,4459.0,4876.0,5270.0,5597.0,5898.0,6035.0,6368.0,6727.0,7144.0,7429.0,7704.0,8026.0,8456.0,9106.0,9671.0,10500.0,11687.0,13165.0,16044.0,19122.0,23439.0,29529.0,34922.0,40765.0,44523.0,,,,,,,
Chipre,26.0,95.0,214.0,446.0,633.0,767.0,817.0,872.0,898.0,916.0,935.0,944.0,964.0,983.0,986.0,994.0,1003.0,1021.0,1038.0,1057.0,1150.0,1242.0,1339.0,1421.0,1487.0,1509.0,1526.0,1600.0,1696.0,1824.0,2006.0,2644.0,3545.0,4563.0,5987.0,7178.0,8643.0,10383.0,12451.0,15101.0,17688.0,19657.0,23974.0,27350.0,28968.0,30017.0,30876.0,31759.0,32513.0,33260.0,,,,,,,
República Tcheca,19.0,189.0,995.0,2631.0,4472.0,5831.0,6606.0,7352.0,7755.0,8095.0,8455.0,8890.0,9230.0,9567.0,9991.0,10448.0,11298.0,12440.0,13115.0,13855.0,15212.0,16699.0,18235.0,19891.0,21790.0,24094.0,27752.0,35401.0,48306.0,63294.0,80605.0,114005.0,168827.0,250797.0,335102.0,411220.0,458229.0,490750.0,518649.0,544179.0,575422.0,618836.0,667569.0,735469.0,822716.0,883906.0,933361.0,980714.0,1030112.0,1082849.0,1146321.0,1153159.0,,,,,
Dinamarca,11.0,444.0,1116.0,1862.0,3290.0,5597.0,6876.0,8108.0,9206.0,10136.0,10865.0,11315.0,11680.0,11971.0,12216.0,12494.0,12815.0,12994.0,13101.0,13293.0,13554.0,13868.0,14440.0,15423.0,16336.0,16962.0,17620.0,19036.0,21013.0,24822.0,28479.0,31201.0,34087.0,37507.0,43685.0,51042.0,58466.0,66324.0,74722.0,84056.0,97895.0,120330.0,144053.0,161862.0,175663.0,185835.0,192187.0,197224.0,200466.0,203574.0,206285.0,208265.0,,,,,
Diamond Princess,175.0,634.0,705.0,706.0,706.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,,
Djibouti,3.0,30.0,90.0,363.0,945.0,1072.0,1120.0,1256.0,1618.0,2468.0,3779.0,4331.0,4539.0,4617.0,4682.0,4878.0,4979.0,5027.0,5068.0,5248.0,5348.0,5374.0,5383.0,5387.0,5388.0,5396.0,5407.0,5416.0,5423.0,5428.0,5499.0,5544.0,5575.0,5633.0,5656.0,5669.0,5680.0,5714.0,5749.0,5786.0,5813.0,5854.0,5879.0,5910.0,5923.0,5935.0,5959.0,5981.0,6024.0,,,,,,,,
Domínica,11.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,20.0,22.0,24.0,24.0,24.0,31.0,32.0,33.0,38.0,50.0,63.0,68.0,72.0,85.0,85.0,87.0,88.0,88.0,88.0,106.0,110.0,113.0,117.0,121.0,121.0,134.0,134.0,,,,,,,,
República Dominicana,2.0,11.0,112.0,719.0,1488.0,2759.0,4335.0,5926.0,7578.0,9882.0,12110.0,14422.0,16908.0,19195.0,22572.0,25778.0,30619.0,36184.0,43114.0,51519.0,60896.0,71415.0,78778.0,85545.0,90561.0,93732.0,98776.0,103092.0,107700.0,110957.0,113926.0,118014.0,120925.0,124018.0,127018.0,129645.0,133225.0,137770.0,142653.0,147655.0,153585.0,159064.0,165940.0,172965.0,180644.0,191339.0,202507.0,212553.0,222148.0,228895.0,234502.0,235462.0,,,,,
Equador,13.0,28.0,506.0,1823.0,3465.0,7257.0,9022.0,22719.0,27464.0,31881.0,32763.0,36258.0,38571.0,42728.0,46356.0,49731.0,54574.0,61535.0,67209.0,73382.0,80036.0,86232.0,93572.0,100688.0,107089.0,112906.0,118045.0,118045.0,125620.0,133981.0,140351.0,146828.0,152422.0,159614.0,168192.0,173486.0,179627.0,184876.0,190909.0,197391.0,201524.0,205920.0,209274.0,214513.0,220349.0,230808.0,238232.0,249779.0,257115.0,265527.0,273097.0,274673.0,,,,,
