País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Equador,0.0,2.0,7.0,48.0,172.0,315.0,456.0,576.0,1371.0,1717.0,2688.0,3096.0,3334.0,3608.0,3874.0,4156.0,4424.0,4769.0,5031.0,5282.0,5507.0,5736.0,5916.0,6065.0,6277.0,6537.0,6724.0,10864.0,11084.0,11273.0,11597.0,12188.0,12375.0,12542.0,12670.0,12815.0,12997.0,13139.0,13371.0,13756.0,13874.0,13948.0,13990.0,14059.0,14177.0,14246.0,,,,,,
Egito,0.0,0.0,0.0,1.0,6.0,24.0,58.0,118.0,196.0,287.0,392.0,482.0,571.0,696.0,845.0,1126.0,1377.0,1938.0,2533.0,3120.0,3617.0,4120.0,4480.0,4774.0,4951.0,5107.0,5212.0,5342.0,5479.0,5590.0,5715.0,5835.0,5946.0,6017.0,6088.0,6166.0,6247.0,6329.0,6417.0,6508.0,6596.0,6713.0,6854.0,7015.0,7260.0,7631.0,8029.0,8421.0,,,,
El Salvador,0.0,1.0,5.0,6.0,7.0,9.0,15.0,20.0,31.0,39.0,51.0,64.0,79.0,119.0,182.0,235.0,286.0,363.0,430.0,498.0,577.0,633.0,687.0,731.0,770.0,796.0,819.0,843.0,873.0,904.0,933.0,962.0,992.0,1024.0,1056.0,1086.0,1129.0,1174.0,1219.0,1274.0,1327.0,1382.0,1447.0,1459.0,,,,,,,,
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,11.0,12.0,12.0,12.0,32.0,32.0,51.0,51.0,51.0,51.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,86.0,,,,,,,,
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,,,,,,,,,
Estónia,0.0,0.0,0.0,1.0,5.0,24.0,35.0,44.0,50.0,55.0,61.0,64.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,67.0,68.0,71.0,73.0,73.0,76.0,85.0,97.0,122.0,139.0,160.0,192.0,226.0,261.0,301.0,311.0,,,,,
Essuatíni,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,8.0,13.0,18.0,21.0,28.0,41.0,56.0,68.0,81.0,91.0,94.0,98.0,103.0,108.0,111.0,113.0,115.0,116.0,117.0,117.0,118.0,119.0,120.0,122.0,126.0,136.0,154.0,216.0,279.0,335.0,,,,,,,,
Etiópia,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,18.0,40.0,65.0,81.0,103.0,120.0,148.0,197.0,263.0,365.0,479.0,620.0,745.0,856.0,974.0,1060.0,1148.0,1205.0,1262.0,1325.0,1396.0,1457.0,1508.0,1554.0,1607.0,1672.0,1724.0,1779.0,1831.0,1882.0,1923.0,1966.0,2008.0,,,,,,,,
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,34.0,64.0,141.0,199.0,246.0,275.0,301.0,312.0,320.0,324.0,326.0,327.0,328.0,329.0,329.0,328.0,329.0,331.0,333.0,334.0,335.0,336.0,336.0,339.0,341.0,345.0,346.0,346.0,351.0,355.0,359.0,363.0,371.0,384.0,399.0,424.0,466.0,511.0,550.0,576.0,602.0,616.0,
França,0.0,0.0,0.0,1.0,2.0,7.0,48.0,244.0,1697.0,5387.0,12214.0,17903.0,21829.0,24349.0,25991.0,27430.0,28242.0,28666.0,29069.0,29349.0,29606.0,29754.0,29878.0,29983.0,30142.0,30186.0,30257.0,30315.0,30393.0,30485.0,30588.0,30717.0,30824.0,31108.0,31524.0,32035.0,32539.0,33146.0,34234.0,36058.0,39088.0,43024.0,47198.0,51041.0,54231.0,57044.0,59733.0,62389.0,64759.0,66700.0,69452.0,
Gabão,1.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,10.0,12.0,15.0,21.0,23.0,34.0,40.0,44.0,46.0,46.0,49.0,49.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,58.0,59.0,59.0,60.0,63.0,64.0,64.0,64.0,66.0,66.0,,,,,,,,
Gâmbia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,8.0,9.0,23.0,63.0,87.0,96.0,99.0,103.0,108.0,111.0,115.0,118.0,118.0,119.0,119.0,122.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0,124.0,125.0,126.0,,,,,,,,
